37 30.0 0.0411111111111 1.49320528519 1.0[[ 0.03876738]][[ 0.99999654]][[ 0.9999994]][[ 0.90566008]][[ 0.00015203]][[ 0.99999308]]
36 28.0 0.0459183673469 3.83364889532 1.0[[ 0.07753477]][[ 0.99999636]][[ 0.99999881]][[ 0.80392097]][[ 0.00030406]][[ 0.99999273]]
134 62.0 0.0348595213319 25.4220439187 1.06896551724[[ 0.1007952]][[ 0.99998933]][[ 0.99999845]][[ 0.92168597]][[ 0.00039528]][[ 0.99997866]]
103 56.0 0.0328443877551 65.8875536449 1.03703703704[[ 0.1007952]][[ 0.99999136]][[ 0.99999845]][[ 0.90151438]][[ 0.00039528]][[ 0.99998271]]
42 40.0 0.02625 45.4625234817 1.0[[ 0.11630215]][[ 0.99999535]][[ 0.99999821]][[ 0.76190387]][[ 0.00045609]][[ 0.9999907]]
83 52.0 0.0306952662722 76.9668219579 1.0[[ 0.13180911]][[ 0.99999243]][[ 0.99999797]][[ 0.84545353]][[ 0.0005169]][[ 0.99998486]]
15 22.0 0.0309917355372 179.835290311 1.0[[ 0.06202782]][[ 0.99999791]][[ 0.99999905]][[ 0.70370323]][[ 0.00024325]][[ 0.99999583]]
69 40.0 0.043125 161.823210656 1.0[[ 0.08528825]][[ 0.99999398]][[ 0.99999869]][[ 0.87777712]][[ 0.00033446]][[ 0.99998796]]
54 34.0 0.0467128027682 128.643421503 1.0[[ 0.08528825]][[ 0.99999505]][[ 0.99999869]][[ 0.84722157]][[ 0.00033446]][[ 0.9999901]]
45 34.0 0.0389273356401 247.646627799 1.0[[ 0.06202782]][[ 0.99999577]][[ 0.99999905]][[ 0.8730154]][[ 0.00024325]][[ 0.99999153]]
84 48.0 0.0364583333333 131.06484735 1.0[[ 0.12405563]][[ 0.99999255]][[ 0.99999809]][[ 0.85321006]][[ 0.00048649]][[ 0.9999851]]
89 48.0 0.0386284722222 150.114918818 1.0[[ 0.11630215]][[ 0.99999231]][[ 0.99999821]][[ 0.86842016]][[ 0.00045609]][[ 0.99998462]]
108 58.0 0.0321046373365 151.852741621 1.0[[ 0.13956259]][[ 0.9999907]][[ 0.99999785]][[ 0.86956414]][[ 0.0005473]][[ 0.9999814]]
121 60.0 0.0336111111111 192.322980749 1.07142857143[[ 0.12405563]][[ 0.99998998]][[ 0.99999809]][[ 0.89473589]][[ 0.00048649]][[ 0.99997997]]
137 58.0 0.0407253269917 194.917248674 1.0[[ 0.13180911]][[ 0.99998903]][[ 0.99999797]][[ 0.89820258]][[ 0.0005169]][[ 0.99997806]]
9 32.0 0.0087890625 371.723092143 1.0[[ 0.08528825]][[ 0.99999779]][[ 0.99999869]][[ 0.57692242]][[ 0.00033446]][[ 0.99999559]]
90 50.0 0.036 191.338278354 1.0[[ 0.13180911]][[ 0.99999207]][[ 0.99999797]][[ 0.85344726]][[ 0.0005169]][[ 0.99998414]]
19 32.0 0.0185546875 187.448553381 1.0[[ 0.1007952]][[ 0.99999708]][[ 0.99999845]][[ 0.63888811]][[ 0.00039528]][[ 0.99999416]]
57 40.0 0.035625 483.423835944 1.0[[ 0.06978129]][[ 0.99999481]][[ 0.99999893]][[ 0.88461485]][[ 0.00027365]][[ 0.99998963]]
13 20.0 0.0325 816.391579041 1.0[[ 0.04652086]][[ 0.99999821]][[ 0.99999928]][[ 0.74999964]][[ 0.00018243]][[ 0.99999642]]
143 62.0 0.0372008324662 185.572608231 1.0[[ 0.16282302]][[ 0.99998831]][[ 0.9999975]][[ 0.87999875]][[ 0.00063852]][[ 0.99997663]]
95 50.0 0.038 302.705199704 1.0[[ 0.11630215]][[ 0.99999189]][[ 0.99999821]][[ 0.87603216]][[ 0.00045609]][[ 0.99998378]]
152 76.0 0.0263157894737 158.282449755 1.08571428571[[ 0.14731606]][[ 0.99998748]][[ 0.99999773]][[ 0.90052243]][[ 0.00057771]][[ 0.99997496]]
